Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithPeriodSuite:Handles Variable Spaces,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Screenshots enclosed,Use an extra class with iterator like interface,Interactive Run,Illegal import or call,Single main.Assigment,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithPeriodSuite:Handles Variable Spaces,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Screenshots enclosed,Use an extra class with iterator like interface,Interactive Run,Illegal import or call,Single main.Assigment
0,Sat Aug 27 20:45:56 EDT 2016,60.0,,60.0,,1.05,63.0,30.0,5.0,0.0,10.0,5.0,10.0,Use an extra class with iterator like interface        %.1f / 10.0 (Extra credit),0.0,0.0,0.0,,,,,,,,,,
1,Sat Aug 27 20:46:54 EDT 2016,0.0,,60.0,,1.05,63.0,,,,,,,,,,,,,,,,,,,,
2,Sat Sep 10 12:37:23 EDT 2016,-55.0,,5.0,,1.05,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,,,,,
3,Sat Sep 10 12:37:46 EDT 2016,0.0,,5.0,,1.05,5.25,,,,,,,,,,,,,,,,,,,,
4,Sat Sep 10 12:40:37 EDT 2016,0.0,,5.0,,1.05,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,,,,,
5,Sat Sep 10 12:40:53 EDT 2016,0.0,,5.0,,1.05,5.25,,,,,,,,,,,,,,,,,,,,
6,Sat Sep 10 13:23:03 EDT 2016,0.0,,5.0,,1.05,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,,,,,
7,Sat Sep 10 13:23:16 EDT 2016,0.0,,5.0,,1.05,5.25,,,,,,,,,,,,,,,,,,,,
8,Sat Sep 10 13:34:42 EDT 2016,50.0,,55.0,,1.05,57.75,30.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
9,Sat Sep 10 13:35:54 EDT 2016,0.0,,55.0,,1.05,57.75,,,,,,,,,,,,,,,,,,,,
10,Sat Sep 10 14:19:45 EDT 2016,0.0,,55.0,,1.05,57.75,30.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
11,Sat Sep 10 14:20:20 EDT 2016,0.0,,55.0,,1.05,57.75,,,,,,,,,,,,,,,,,,,,
12,Sat Sep 10 14:39:11 EDT 2016,0.0,,55.0,,1.05,57.75,30.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
13,Sat Sep 10 14:39:48 EDT 2016,0.0,,55.0,,1.05,57.75,,,,,,,,,,,,,,,,,,,,
14,Sat Sep 10 14:46:37 EDT 2016,0.0,,55.0,,1.05,57.75,30.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
15,Sat Sep 10 14:47:24 EDT 2016,0.0,,55.0,,1.05,57.75,,,,,,,,,,,,,,,,,,,,
