Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithPeriodSuite:Handles Variable Spaces,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Screenshots enclosed,Use an extra class with iterator like interface,Interactive Run,Illegal import or call,Single main.Assigment,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithPeriodSuite:Handles Variable Spaces,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Screenshots enclosed,Use an extra class with iterator like interface,Interactive Run,Illegal import or call,Single main.Assigment
0,Sat Aug 27 20:46:23 EDT 2016,36.6,,36.6,,1.05,38.85,20.0,3.3,3.3,6.7,3.3,0.0,Use an extra class with iterator like interface        %.1f / 10.0 (Extra credit),0.0,0.0,0.0,,,,,,,,,,
1,Sat Aug 27 20:47:43 EDT 2016,0.0,,36.6,,1.05,38.85,,,,,,,,,,,,,,,,,,,,
2,Sat Sep 10 12:37:41 EDT 2016,-36.6,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
3,Sat Sep 10 12:38:18 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,
4,Sat Sep 10 12:40:48 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,,,,,,,
5,Sat Sep 10 13:23:12 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,,,,,,,
6,Sat Sep 10 13:35:38 EDT 2016,17.5,,17.5,,1.05,18.900000000000002,20.0,3.3,3.3,2.6,0.0,3.3,0.0,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,,,
7,Sat Sep 10 13:38:28 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,,,,,,,,,,,,,,,,,,,,
8,Sat Sep 10 13:40:14 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,,,,,,,,,,,,,,,,,,,,
9,Sat Sep 10 14:20:04 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,20.0,3.3,3.3,2.6,0.0,3.3,0.0,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,,,
10,Sat Sep 10 14:39:27 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,20.0,3.3,3.3,2.6,0.0,3.3,0.0,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,,,
11,Sat Sep 10 14:40:17 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,,,,,,,,,,,,,,,,,,,,
12,Sat Sep 10 14:46:54 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,20.0,3.3,3.3,2.6,0.0,3.3,0.0,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,,,
13,Sat Sep 10 14:47:46 EDT 2016,0.0,,17.5,,1.05,18.900000000000002,,,,,,,,,,,,,,,,,,,,
14,Sat Sep 17 13:53:51 EDT 2016,0.8000000000000007,,18.3,,1.05,18.900000000000002,0.0,0.0,20.0,3.3,5.0,0.0,0.0,5.0,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,-25.0,,
15,Sat Sep 17 13:56:48 EDT 2016,0.0,,18.3,,1.05,18.900000000000002,,,,,,,,,,,,,,,,,,,,
16,Sat Sep 17 14:24:18 EDT 2016,3.3999999999999986,,21.7,,1.05,23.1,0.0,0.0,20.0,6.7,5.0,0.0,0.0,5.0,6.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,Screenshots show tests                                 %.1f / 10.0,-25.0,,
17,Sat Sep 17 14:27:11 EDT 2016,0.0,,21.7,,1.05,23.1,,,,,,,,,,,,,,,,,,,,
