Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,3 Required Methods Called in Main or Iterator (max 15pts),indexOfNot Called in Main or Iterator (max 3pts),Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call,ScanStringTestSuite:ScanString functions correctly,ScanningIteratorSuite:Scanning Iterator,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithStartingPeriodSuite:Terminating period forms complete line,IndexOfNotTestSuite:IndexOfNot functions correctly,IndexOfTestSuite:IndexOf functions correctly,TerminatesWithPeriodLineSuite:Handles Space After Period,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,3 Required Methods Called in Main or Iterator (max 15pts),indexOfNot Called in Main or Iterator (max 3pts),Iterator Methods Called in Main,Screenshots enclosed,Screenshots show tests,Illegal import or call
0,Fri Sep 16 23:40:56 EDT 2016,20.0,,20.0,,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,
1,Sat Sep 17 11:05:18 EDT 2016,43.0,,63.0,,1.0,63.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,15.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,
2,Sat Sep 17 13:33:40 EDT 2016,0.0,,63.0,,1.0,63.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,15.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,,,
3,Sat Sep 17 13:41:50 EDT 2016,0.0,,63.0,,1.0,63.0,15.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
4,Sat Sep 17 13:45:41 EDT 2016,24.200000000000003,,87.2,,1.0,87.0,7.5,0.0,30.0,1.7,0.0,0.0,18.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
5,Sat Sep 17 13:49:58 EDT 2016,10.0,,97.2,,1.0,97.0,7.5,0.0,30.0,1.7,5.0,0.0,18.0,5.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
6,Sat Sep 17 13:54:08 EDT 2016,0.0,,97.2,,1.0,97.0,7.5,0.0,30.0,1.7,5.0,0.0,18.0,5.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
7,Sat Sep 17 13:56:59 EDT 2016,0.0,,97.2,,1.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat Sep 17 14:06:40 EDT 2016,0.0,,97.2,,1.0,97.0,7.5,0.0,30.0,1.7,5.0,0.0,18.0,5.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
9,Sat Sep 17 14:09:18 EDT 2016,7.5,,104.7,,1.0,105.0,15.0,0.0,30.0,1.7,5.0,0.0,18.0,5.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,,,,,,,,,,,,,
