Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithPeriodSuite:Handles Variable Spaces,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Screenshots enclosed,Use an extra class with iterator like interface,Interactive Run,Illegal import or call,Single main.Assigment,MultipleTokenSuite:Can process multiple tokens,InvalidCharacterSuite:Handles Invalid Characters,TerminatesWithPeriodSuite:Handles Variable Spaces,SingleTokenSuite:Can process a single token,VariableSpaceSuite:Handles Variable Spaces,Screenshots enclosed,Use an extra class with iterator like interface,Interactive Run,Illegal import or call,Single main.Assigment
0,Sat Aug 27 20:46:36 EDT 2016,43.3,,43.3,,1.05,45.15,20.0,0.0,3.3,10.0,0.0,10.0,Use an extra class with iterator like interface        %.1f / 10.0 (Extra credit),0.0,0.0,0.0,,,,,,,,,,
1,Sat Sep 10 12:37:44 EDT 2016,-38.3,,5.0,,1.05,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,,,,,
2,Sat Sep 10 12:38:30 EDT 2016,0.0,,5.0,,1.05,5.25,,,,,,,,,,,,,,,,,,,,
3,Sat Sep 10 12:40:51 EDT 2016,0.0,,5.0,,1.05,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,,,,,
4,Sat Sep 10 13:23:14 EDT 2016,0.0,,5.0,,1.05,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,,,,,
5,Sat Sep 10 13:35:45 EDT 2016,36.6,,41.6,,1.05,44.1,20.0,0.0,3.3,0.0,0.0,3.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
6,Sat Sep 10 13:38:40 EDT 2016,0.0,,41.6,,1.05,44.1,,,,,,,,,,,,,,,,,,,,
7,Sat Sep 10 14:20:11 EDT 2016,0.0,,41.6,,1.05,44.1,20.0,0.0,3.3,0.0,0.0,3.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
8,Sat Sep 10 14:39:35 EDT 2016,0.0,,41.6,,1.05,44.1,20.0,0.0,3.3,0.0,0.0,3.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
9,Sat Sep 10 14:40:25 EDT 2016,0.0,,41.6,,1.05,44.1,,,,,,,,,,,,,,,,,,,,
10,Sat Sep 10 14:47:08 EDT 2016,0.0,,41.6,,1.05,44.1,20.0,0.0,3.3,0.0,0.0,3.3,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-5.0,,,
11,Sat Sep 10 14:47:56 EDT 2016,0.0,,41.6,,1.05,44.1,,,,,,,,,,,,,,,,,,,,
12,Sat Sep 17 13:54:23 EDT 2016,5.100000000000001,,46.7,,1.05,49.35,0.0,0.0,20.0,1.7,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,
13,Sat Sep 17 13:59:46 EDT 2016,0.0,,46.7,,1.05,49.35,,,,,,,,,,,,,,,,,,,,
14,Sat Sep 17 14:02:59 EDT 2016,0.0,,46.7,,1.05,49.35,,,,,,,,,,,,,,,,,,,,
15,Sat Sep 17 14:24:51 EDT 2016,-1.7000000000000028,,45.0,,1.05,47.25,0.0,0.0,20.0,0.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Screenshots show tests                                 %.1f / 10.0,0.0,,
16,Sat Sep 17 14:27:44 EDT 2016,0.0,,45.0,,1.05,47.25,,,,,,,,,,,,,,,,,,,,
