Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,MultipleQuoteOutputTest:Multiple Quotes Output,MixedOutputTest:Mixed Types of Tokens Output,MultipleSignOutputTest:Multiple Signs Output,MultipleNumberOutputTest:Multiple Numbers Output,MissingQuoteOutputTest:Missing Quote Output,ScannerBeanTest,MultipleWordOutputTest:Multiple Words Output,ScanString and IndexOf now called in ScannerBean (max 10pts),Scanner Bean Instantiated in Main,Screenshots enclosed,Breakpoint step into/over/return screenhots,Scanner Bean Tagged ,Illegal import or call,MultipleQuoteOutputTest:Multiple Quotes Output,MixedOutputTest:Mixed Types of Tokens Output,MultipleSignOutputTest:Multiple Signs Output,MultipleNumberOutputTest:Multiple Numbers Output,MissingQuoteOutputTest:Missing Quote Output,ScannerBeanTest,MultipleWordOutputTest:Multiple Words Output,ScanString and IndexOf now called in ScannerBean (max 10pts),Scanner Bean Instantiated in Main,Screenshots enclosed,Breakpoint step into/over/return screenhots,Scanner Bean Tagged ,Illegal import or call
0,Sun Sep 18 22:31:57 EDT 2016,80.0,,80.0,,1.05,84.0,20.0,0.0,0.0,10.0,0.0,25.0,10.0,10.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,5.0,0.0,,,,,,,,,,,,,
1,Sun Sep 18 22:35:43 EDT 2016,0.0,,80.0,,1.05,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sun Sep 18 22:38:22 EDT 2016,-5.0,,75.0,,1.05,78.75,20.0,0.0,0.0,10.0,0.0,25.0,10.0,5.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,5.0,0.0,,,,,,,,,,,,,
3,Sun Sep 18 22:49:24 EDT 2016,0.0,,75.0,,1.05,78.75,20.0,0.0,0.0,10.0,0.0,25.0,10.0,5.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,5.0,0.0,,,,,,,,,,,,,
4,Thu Sep 22 18:46:02 EDT 2016,-75.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,,,,,,,,,,,,,,
5,Sun Sep 25 10:52:45 EDT 2016,65.0,,65.0,,1.05,68.25,20.0,0.0,0.0,10.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,,,,,,,,,,,,,
6,Sun Sep 25 10:53:29 EDT 2016,0.0,,65.0,,1.05,68.25,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun Sep 25 11:00:37 EDT 2016,5.0,,70.0,,1.05,73.5,20.0,0.0,0.0,10.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,5.0,0.0,,,,,,,,,,,,
8,Sun Sep 25 11:01:06 EDT 2016,0.0,,70.0,,1.05,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sun Sep 25 11:24:26 EDT 2016,0.0,,70.0,,1.05,73.5,20.0,0.0,0.0,10.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,5.0,0.0,,,,,,,,,,,,
10,Sun Sep 25 11:25:15 EDT 2016,0.0,,70.0,,1.05,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,
