Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,MultipleQuoteOutputTest:Multiple Quotes Output,MixedOutputTest:Mixed Types of Tokens Output,MultipleSignOutputTest:Multiple Signs Output,MultipleNumberOutputTest:Multiple Numbers Output,MissingQuoteOutputTest:Missing Quote Output,ScannerBeanTest,MultipleWordOutputTest:Multiple Words Output,ScanString and IndexOf now called in ScannerBean (max 10pts),Scanner Bean Instantiated in Main,Screenshots enclosed,Breakpoint step into/over/return screenhots,Scanner Bean Tagged ,Illegal import or call,MultipleQuoteOutputTest:Multiple Quotes Output,MixedOutputTest:Mixed Types of Tokens Output,MultipleSignOutputTest:Multiple Signs Output,MultipleNumberOutputTest:Multiple Numbers Output,MissingQuoteOutputTest:Missing Quote Output,ScannerBeanTest,MultipleWordOutputTest:Multiple Words Output,ScanString and IndexOf now called in ScannerBean (max 10pts),Scanner Bean Instantiated in Main,Screenshots enclosed,Breakpoint step into/over/return screenhots,Scanner Bean Tagged ,Illegal import or call
0,Sun Sep 18 22:32:04 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
1,Sun Sep 18 22:36:25 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sun Sep 18 22:38:26 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,-25.0,,,,,,,,,,,,,
3,Sun Sep 18 22:49:28 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,-25.0,,,,,,,,,,,,,
4,Thu Sep 22 18:46:02 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,-25.0,,,,,,,,,,,,,,
5,Sun Sep 25 10:52:53 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,-25.0,,,,,,,,,,,,,
6,Sun Sep 25 10:53:41 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun Sep 25 11:00:44 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,-25.0,,,,,,,,,,,,
8,Sun Sep 25 11:01:13 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sun Sep 25 11:24:30 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,-25.0,,,,,,,,,,,,
10,Sun Sep 25 11:25:22 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sun Sep 25 11:37:43 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sun Sep 25 11:38:07 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sun Sep 25 12:04:52 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,-25.0,,,,,,,,,,,,
14,Sun Sep 25 12:06:22 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sun Sep 25 12:08:24 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sun Sep 25 12:08:45 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sun Sep 25 12:11:38 EDT 2016,0.0,,0.0,,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,-25.0,,,,,,,,,,,,
18,Sun Sep 25 12:12:07 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sun Sep 25 12:13:14 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sun Sep 25 12:13:34 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sun Sep 25 12:17:06 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sun Sep 25 12:17:27 EDT 2016,0.0,,0.0,,1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
