Assignment 1,Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,MultipleQuoteOutputTest:Multiple Quotes Output,MixedOutputTest:Mixed Types of Tokens Output,MultipleSignOutputTest:Multiple Signs Output,MultipleNumberOutputTest:Multiple Numbers Output,MissingQuoteOutputTest:Missing Quote Output,ScannerBeanTest,MultipleWordOutputTest:Multiple Words Output,ScanString and IndexOf now called in ScannerBean (max 10pts),Scanner Bean Instantiated in Main,Screenshots enclosed,Breakpoint step into/over/return screenhots,Scanner Bean Tagged ,Illegal import or call,MultipleQuoteOutputTest:Multiple Quotes Output,MixedOutputTest:Mixed Types of Tokens Output,MultipleSignOutputTest:Multiple Signs Output,MultipleNumberOutputTest:Multiple Numbers Output,MissingQuoteOutputTest:Missing Quote Output,ScannerBeanTest,MultipleWordOutputTest:Multiple Words Output,ScanString and IndexOf now called in ScannerBean (max 10pts),Scanner Bean Instantiated in Main,Screenshots enclosed,Breakpoint step into/over/return screenhots,Scanner Bean Tagged ,Illegal import or call
0,Sat Sep 17 12:03:17 EDT 2016,35.0,,35.0,,1.05,36.75,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
1,Sat Sep 17 12:06:43 EDT 2016,0.0,,35.0,,1.05,36.75,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
2,Sat Sep 17 12:09:02 EDT 2016,0.0,,35.0,,1.05,36.75,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat Sep 17 12:09:59 EDT 2016,0.0,,35.0,,1.05,36.75,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
4,Sat Sep 17 12:19:44 EDT 2016,0.0,,35.0,,1.05,36.75,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
5,Sun Sep 18 22:32:10 EDT 2016,70.0,,105.0,,1.05,110.25,20.0,20.0,5.0,10.0,5.0,25.0,10.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
6,Sun Sep 18 22:36:31 EDT 2016,0.0,,105.0,,1.05,110.25,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun Sep 18 22:38:30 EDT 2016,0.0,,105.0,,1.05,110.25,20.0,20.0,5.0,10.0,5.0,25.0,10.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
8,Sun Sep 18 22:49:33 EDT 2016,0.0,,105.0,,1.05,110.25,20.0,20.0,5.0,10.0,5.0,25.0,10.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,,
9,Thu Sep 22 18:46:03 EDT 2016,-95.0,,10.0,,1.05,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,,,,,,,,,,,,,,
10,Sun Sep 25 10:53:02 EDT 2016,95.0,,105.0,,1.05,110.25,20.0,20.0,5.0,10.0,5.0,25.0,10.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,,,,,,,,,,,,,
11,Sun Sep 25 11:00:52 EDT 2016,0.0,,105.0,,1.05,110.25,20.0,20.0,5.0,10.0,5.0,25.0,10.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,
12,Sun Sep 25 11:24:42 EDT 2016,-10.0,,95.0,,1.05,99.75,20.0,10.0,5.0,10.0,5.0,25.0,10.0,0.0,0.0,0.0,10.0,Breakpoint step into/over/return screenhots            %.1f / 20.0,0.0,0.0,,,,,,,,,,,,
